codigo,nome,categoria,creditos,pre_requisitos,quantidade_vagas,areas
1411311,Fundamentos de Matemática para Ciência da Computação I,Obrigatório,4,-,"120, 130",
1411167,Programação I,Obrigatório,4,-,"110, 120",
1411180,Laboratório de Programação I,Obrigatório,4,-,"140, 120",
1411174,Introdução à Computação,Obrigatório,4,-,"105, 96",
1411312,Fundamentos de Matemática para Ciência da Computação II,Obrigatório,4,1411311,"100, 100",
1109103,Cálculo Diferencial e Integral I,Obrigatório,4,1411311,"20, 160",
1411168,Programação II,Obrigatório,4,"1411167, 1411180","95, 100",
1411181,Laboratório de Programação II,Obrigatório,4,"1411167, 1411180","105, 90",
1109049,Álgebra Linear I,Obrigatório,4,1411312,"70, 80",
1411307,Lógica para Computação,Obrigatório,4,1411312,"55, 60",
1109053,Cálculo Diferencial e Integral II,Obrigatório,4,1109103,"80, 40",
1411305,Estrutura de Dados,Obrigatório,4,"1411168, 1411181","86, 90",
1411306,Laboratório de Estrutura de Dados,Obrigatório,4,"1411168, 1411181","80, 90",
1411304,Teoria dos Grafos,Obrigatório,4,- ,"83, 40",
1114129,Introdução à Probabilidade,Obrigatório,4,"1109103, 1411312","100, 50",
1411308,Projeto de Software,Obrigatório,4,"1411167, 1411180","80, 70",
1411309,Paradigmas de Linguagens de Programação,Obrigatório,4,"1411167, 1411180","83, 90",
1411193,Banco de dados I,Obrigatório,4,1411305,"80, 80",
1411310,Organização e Arquitetura de Computadores,Obrigatório,4,1411174,"75, 140",
1411182,Laboratório de Organização e Arquitetura de Computadores,Obrigatório,4,1411174,"69, 140",
1114222,Estatística Aplicada,Obrigatório,4,1114129,"45, 65",
1411313,Análise de Sistemas,Obrigatório,4,"1411167, 1411180","78, 45",
1411314,Engenharia de Software,Obrigatório,4,"1411167, 1411180","60, 60",
1411190,Redes de Computadores,Obrigatório,4,1411174,"50, 105",
1411192,Sistemas Operacionais,Obrigatório,4,"1411310, 1411182","45, 70",
1411171,Teoria da Computação,Obrigatório,4,1411309,"80, 50",
1305218,Metodologia Científica,Obrigatório,4,1114222,"50, -",
1411315,Programação Concorrente,Obrigatório,4,1411192,"35, 45",
1411316,Inteligência Artificial,Obrigatório,4,1411309,"48, 110",
1411187,Análise e Técnicas de Algoritmos,Obrigatório,4,"1411305, 1411306","60, 70",
1411189,Compiladores,Obrigatório,4,1411309,"40, 80",
1411185,Projeto em Computação I,Obrigatório,4,1411314,"45, 50",
1411317,Projeto de Trabalho de Conclusão de Curso,Obrigatório,4,-,"-, 20",
1411348,Projeto em Computação II,Obrigatório,4,1411185,"45, 45",
1411318,Trabalho de Conclusão de Curso,Obrigatório,4,1411317,"-, -",
