codigo,pre_requisito
1411312,1411311
1109103,1411311
1411168,1411167
1411181,1411167
1109049,1411312
1109053,1109103
1411307,1411312
1411305,1411168
1411306,1411168
1114129,1109103
1411308,1411167
1411309,1411167
1411193,1411305
1411310,1411174
1411182,1411174
1114222,1114129
1411313,1411167
1411314,1411167
1411190,1411174
1411192,1411310
1411171,1411309
1305218,1114222
1411315,1411192
1411316,1411309
1411187,1411305
1411189,1411309
1411185,1411314
1411348,1411185
1411318,1411317
1411198,1411193
1411325,1411308
1411197,1114129
1411194,1411193
1302123,1411305
1411326,1411308
1411327,1411308
1411330,1411190
1411331,1411190
1411335,1411168
1411336,1411193
1411217,1411190
1411337,1411192
1411338,1411341
1411340,1411192
1411343,1411314
1411349,1411310
1411350,1411314
1411351,1114129
1109128,1109053
1108081,1108030
1108100,1108081
1108105,1108100
1411302,1411169
1411356,1114222
1411355,1114129
1411168, 1411180
1411181, 1411180
1411305, 1411181
1411306, 1411181
1114129, 1411312
1411308, 1411180
1411309, 1411180
1411313, 1411180
1411314, 1411180
1411192, 1411182
1411187, 1411306
1411338, 1411187
1411340, 1411190
1411349,  1411182
1109128, 1411312
1108081, 1109103
1108100, 1109053
1108105, 1109128
1411302, 1411309
1108081, 1411312
